

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-01-21T11:05:04PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
14|WHL J092457.0-000634|141.23732 |  -0.10952 |GClstr|129301| 0.431300 |PHOT|     |  0.000|2|0|0|2|2|0|0
15|WHL J092554.5-000515|141.47708 |  -0.08750 |GClstr|101123| 0.337311 |PHOT|     |  0.000|8|0|0|6|8|0|0
16|GMBCG J141.93926-00.10853|141.93926 |  -0.10853 |GClstr| 83043| 0.277000 |PHOT|     |  0.000|1|0|0|1|1|0|0
17|[FAC2011] CL_0185|141.97723 |  -0.13811 |GClstr|136966| 0.456870 |AVG |     |  0.000|1|0|0|1|2|0|0
18|SDSSCGB 40497|142.41292 |  -0.06117 |GGroup||||17.87|  0.000|1|0|0|1|0|0|0
19|SDSSCGB 03860|143.72542 |  -0.12264 |GGroup||||18.64|  0.000|1|0|0|1|0|0|0
20|WHL J093532.5-000817|143.88542 |  -0.13806 |GClstr|128851| 0.429800 |PHOT|     |  0.000|1|0|0|1|1|0|0
21|WHL J093543.9-000335|143.93306 |  -0.05967 |GClstr|102078| 0.340497 |PHOT|     |  0.000|4|0|0|3|4|0|0
22|WHL J093546.8-000251|143.94500 |  -0.04750 |GClstr|102619| 0.342300 |PHOT|     |  0.000|1|0|0|1|1|0|0
23|SDSSCGB 57918|144.15542 |  -0.12094 |GGroup||||19.79|  0.000|1|0|0|1|0|0|0
24|SDSSCGB 41125|145.33417 |  -0.13347 |GGroup||||18.26|  0.000|1|0|0|1|0|0|0
25|MaxBCG J145.73719-00.06102|145.73719 |  -0.06102 |GClstr| 38868| 0.129650 |PHOT|     |  0.000|2|0|0|1|1|0|0
26|SDSS CE J145.792496-00.090379 |145.79250 |  -0.09028 |GClstr| 45540| 0.151904 |EST |     |  0.000|1|0|0|1|1|0|0
27|SDSSCGB 57661|145.82833 |  -0.07078 |GGroup||||19.53|  0.000|1|0|0|1|0|0|0
28|SDSS CE J145.840363-00.117348 |145.84042 |  -0.11722 |GClstr| 45540| 0.151904 |EST |     |  0.000|1|0|0|1|1|0|0
29|SDSSCGB 14121|146.05750 |  -0.06936 |GGroup||||17.94|  0.000|1|0|0|1|0|0|0
30|SDSSCGB 73389|146.81292 |  -0.05850 |GGroup||||18.83|  0.000|1|0|0|1|0|0|0
31|SDSS CE J146.908585-00.073201 |146.90875 |  -0.07333 |GClstr| 72610| 0.242200 |SPEC|     |  0.000|3|0|0|3|4|0|0
32|SDSS CE J146.924713-00.104941 |146.92458 |  -0.10500 |GClstr| 76153| 0.254019 |EST |     |  0.000|1|0|0|1|1|0|0
33|WHL J094926.2-000555|147.35909 |  -0.09856 |GClstr| 84392| 0.281500 |PHOT|     |  0.000|2|0|0|2|2|0|0
34|SDSS CE J147.389389-00.086886 |147.38958 |  -0.08694 |GClstr| 93161| 0.310750 |EST |     |  0.000|1|0|0|1|1|0|0
35|SDSS CE J147.715103-00.087265 |147.71500 |  -0.08722 |GClstr|103365| 0.344788 |EST |     |  0.000|1|0|0|1|1|0|0
36|SDSS CE J147.965805-00.050108 |147.96583 |  -0.05000 |GClstr||||     |  0.000|1|0|0|1|0|0|0
37|GMBCG J148.34661-00.06897|148.34661 |  -0.06897 |GClstr| 99831| 0.333000 |PHOT|     |  0.000|1|0|0|1|1|0|0
38|MSPM 04892|148.84260 |  -0.07870 |GClstr| 25533| 0.085170 |MUN |     |  0.000|1|0|0|1|1|0|0
39|Mr20:[BFW2006] 01640|148.87824 |  -0.11179 |GGroup| 24835| 0.082840 |MUN |     |  0.000|1|0|0|1|1|0|0
40|SDSS CE J148.909393-00.095364 |148.90958 |  -0.09528 |GClstr| 65949| 0.219981 |EST |     |  0.000|1|0|0|1|1|0|0
41|WHL J095548.9-000550|148.95367 |  -0.09712 |GClstr| 25572| 0.085300 |SPEC|     |  0.000|2|0|0|2|3|0|0
42|MZ 06352|149.76857 |  -0.13675 |GGroup| 50098| 0.167109 |UUN |     |  0.000|1|0|0|1|1|0|0
43|GMBCG J149.80716-00.12433|149.80716 |  -0.12433 |GClstr| 54262| 0.181000 |PHOT|     |  0.000|1|0|0|1|1|0|0
44|SDSS CE J149.808975-00.110067 |149.80917 |  -0.11000 |GClstr| 52343| 0.174596 |EST |     |  0.000|1|0|0|1|1|0|0
45|Mr20:[BFW2006] 01644|149.81703 |  -0.12585 |GGroup| 13907| 0.046390 |MUN |     |  0.000|1|0|0|1|1|0|0
46|SDSS CE J150.105820-00.116174 |150.10583 |  -0.11611 |GClstr|103365| 0.344788 |EST |     |  0.000|1|0|0|1|1|0|0
47|SDSSCGB 07209|150.11750 |  -0.13175 |GGroup||||17.92|  0.000|1|0|0|1|0|0|0
48|WHL J100034.6-000417|150.14430 |  -0.07145 |GClstr|203679| 0.679400 |PHOT|     |  0.000|2|0|0|2|2|0|0
49|SDSS CE J150.152374-00.044677 |150.15250 |  -0.04472 |GClstr|117219| 0.391000 |PHOT|     |  0.000|2|0|0|1|2|0|0
50|WHL J100041.3-000452|150.17194 |  -0.08116 |GClstr| 91437| 0.305000 |SPEC|     |  0.000|2|0|0|2|3|0|0
51|SDSS CE J150.181259-00.083197 |150.18125 |  -0.08333 |GClstr|116971| 0.390173 |EST |     |  0.000|1|0|0|1|1|0|0
52|SDSS CE J150.228455-00.110334 |150.22833 |  -0.11028 |GClstr|113569| 0.378827 |EST |     |  0.000|1|0|0|1|1|0|0
53|PM2GC GR1006|150.25180 |  -0.12960 |GGroup| 13551| 0.045200 |MST |     |  0.000|2|0|0|2|2|0|0
54|NSC J100105-000522|150.27139 |  -0.08969 |GClstr|  9024| 0.030100 |PHOT|     |  0.000|1|0|0|1|1|0|0
55|MZ 06289|150.27257 |  -0.13499 |GGroup| 27139| 0.090526 |UUN |     |  0.000|1|0|0|1|1|0|0
56|WHL J100109.5-000446|150.28978 |  -0.07951 |GClstr| 13221| 0.044100 |SPEC|     |  0.000|2|0|0|2|3|0|0
57|SDSS CE J150.290543-00.062460 |150.29042 |  -0.06250 |GClstr| 35335| 0.117865 |EST |     |  0.000|2|0|0|1|1|0|0
58|ABELL 0912|150.29064 |  -0.10770 |GClstr| 13371| 0.044600 |UUN |15.9J|  0.000|46|0|0|3|4|0|0
59|NSC J100111-000713|150.29705 |  -0.12040 |GClstr| 11932| 0.039800 |PHOT|     |  0.000|1|0|0|1|1|0|0
60|WHL J100111.3-000800|150.29708 |  -0.13333 |GGroup| 30609| 0.102100 |PHOT|     |  0.000|2|0|0|1|2|0|0
61|[EKL2017] ECO 5316|151.22100 |  -0.05820 |GGroup|  6264| 0.020896 |AVG |     |  0.000|1|0|0|1|1|0|0
62|[B2003] 02|151.45000 |  -0.07000 |GClstr||||     |  0.000|1|0|0|1|0|0|0
63|SDSSCG 013|152.15400 |  -0.07430 |GGroup| 55282| 0.184400 |    |     |  0.000|1|0|0|1|1|0|0
64|SDSS CE J152.157166-00.076935 |152.15708 |  -0.07694 |GClstr| 65949| 0.219981 |EST |     |  0.000|1|0|0|1|1|0|0
65|SDSS CE J152.219269-00.048964 |152.21917 |  -0.04889 |GClstr| 45540| 0.151904 |EST |     |  0.000|1|0|0|1|1|0|0
66|[FAC2011] CL_0249|152.24228 |  -0.04922 |GClstr|126342| 0.421430 |AVG |     |  0.000|1|0|0|1|2|0|0
67|SDSSCGB 36337|152.35708 |  -0.12547 |GGroup| 28480| 0.095000 |SST |16.69|  0.000|1|0|0|1|1|0|0
68|WHL J100947.1-000651|152.44609 |  -0.11406 |GClstr|125883| 0.419900 |SPEC|     |  0.000|2|0|0|2|3|0|0
69|GMBCG J152.46735-00.11190|152.46735 |  -0.11190 |GClstr|123814| 0.413000 |PHOT|     |  0.000|1|0|0|1|1|0|0
70|[FAC2011] CL_0192|152.54247 |  -0.09410 |GClstr|152714| 0.509400 |AVG |     |  0.000|1|0|0|1|2|0|0
71|SDSSCGB 68621|152.55458 |  -0.09289 |GGroup||||19.67|  0.000|1|0|0|1|0|0|0
72|WHL J101015.6-000627|152.56485 |  -0.10751 |GClstr|154123| 0.514100 |SPEC|     |  0.000|2|0|0|2|3|0|0
73|SDSS CE J152.656250-00.052230 |152.65625 |  -0.05222 |GClstr|127175| 0.424211 |EST |     |  0.000|1|0|0|1|1|0|0
74|[BMA2003] 304|152.80400 |  -0.06600 |GClstr| 18287| 0.061000 |EST |     |  0.000|1|0|0|1|1|0|0
75|WHL J101127.0-000258|152.86243 |  -0.04942 |GClstr|153434| 0.511800 |SPEC|     |  0.000|2|0|0|2|3|0|0
76|WBL 256|152.86575 |  -0.06371 |GGroup| 10055| 0.033540 |    |     |  0.000|1|0|0|1|1|0|0
77|WHL J101131.5-000305|152.88125 |  -0.05139 |GClstr|144980| 0.483600 |PHOT|     |  0.000|1|0|0|1|1|0|0
78|PM2GC GR1057|152.97270 |  -0.09050 |GGroup| 28570| 0.095300 |MST |     |  0.000|2|0|0|2|2|0|0
79|PM2GC GR1216|153.14010 |  -0.11700 |GGroup| 28660| 0.095600 |MST |     |  0.000|2|0|0|2|2|0|0
80|[FAC2011] CL_0093|153.38262 |  -0.12698 |GClstr|167269| 0.557950 |AVG |     |  0.000|1|0|0|1|2|0|0
81|PM2GC GR1033|153.43500 |  -0.11760 |GGroup| 28333| 0.094510 |PHOT|     |  0.000|5|0|0|3|3|0|0
82|ABELL 0954|153.43667 |  -0.10861 |GClstr| 28390| 0.094700 |UUN |16.5J|  0.000|44|0|1|10|11|0|0
83|SDSS-C4 1064|153.43707 |  -0.12022 |GClstr| 27881| 0.093000 |SPEC|     |  0.000|6|0|0|3|4|0|0
84|WHL J101344.9-000713|153.43707 |  -0.12022 |GClstr| 27761| 0.092600 |SPEC|     |  0.000|5|0|0|3|5|0|0
85|Mr20:[BFW2006] 01657|153.45495 |  -0.10849 |GGroup| 28282| 0.094340 |MUN |     |  0.000|1|0|0|1|1|0|0
86|NSC J101349-000753|153.45719 |  -0.13144 |GClstr| 27461| 0.091600 |PHOT|     |  0.000|1|0|0|1|1|0|0
87|MSPM 04466|153.47300 |  -0.09410 |GClstr| 27356| 0.091250 |MUN |     |  0.000|1|0|0|1|1|0|0
88|Mr20:[BFW2006] 01658|153.49402 |  -0.08955 |GGroup| 26963| 0.089940 |MUN |     |  0.000|1|0|0|1|1|0|0
89|WHL J101423.6-000440|153.59836 |  -0.07770 |GClstr| 61278| 0.204400 |SPEC|     |  0.000|2|0|0|2|3|0|0
90|GMBCG J153.74364-00.07359|153.74364 |  -0.07359 |GClstr| 54862| 0.183000 |PHOT|     |  0.000|1|0|0|1|1|0|0
91|SDSS CE J153.754761-00.071167 |153.75458 |  -0.07111 |GClstr| 56676| 0.189050 |PHOT|     |  0.000|3|0|0|1|2|0|0
92|GMBCG J153.90042-00.12998|153.90042 |  -0.12998 |GClstr|108225| 0.361000 |PHOT|     |  0.000|1|0|0|1|1|0|0
93|SDSS CE J153.956329-00.049898 |153.95625 |  -0.05000 |GClstr| 48941| 0.163250 |EST |     |  0.000|1|0|0|1|1|0|0
94|PM2GC GR1049|154.10150 |  -0.09620 |GGroup| 28300| 0.094400 |MST |     |  0.000|2|0|0|2|2|0|0
95|SDSS CE J154.111069-00.077268 |154.11125 |  -0.07722 |GClstr|116971| 0.390173 |EST |     |  0.000|1|0|0|1|1|0|0
96|GMBCG J154.12973-00.05791|154.12973 |  -0.05790 |GClstr| 96233| 0.321000 |PHOT|     |  0.000|1|0|0|1|1|0|0
97|MSPM 03735|154.37610 |  -0.10090 |GClstr| 19073| 0.063620 |MUN |     |  0.000|1|0|0|1|1|0|0
98|WHL J101743.1-000405|154.42958 |  -0.06806 |GClstr| 32168| 0.107300 |PHOT|     |  0.000|1|0|0|1|1|0|0
99|PM2GC GR1004|154.43080 |  -0.07720 |GGroup| 18947| 0.063200 |MST |     |  0.000|2|0|0|2|2|0|0
100|NSC J101749-000240|154.45604 |  -0.04448 |GClstr| 18797| 0.062700 |PHOT|     |  0.000|1|0|0|1|1|0|0
101|Mr19:[BFW2006] 00747|154.48913 |  -0.07566 |GGroup| 18857| 0.062900 |MUN |     |  0.000|1|0|0|1|1|0|0
102|[VPJ2018] Group|154.49272 |  -0.07237 |GGroup| 19064| 0.063590 |SST |     |  0.000|1|0|0|1|1|0|0
103|PM2GC GR1090|154.70340 |  -0.13170 |GGroup| 28031| 0.093500 |MST |     |  0.000|2|0|0|2|2|0|0
104|WHL J101925.2-000626|154.85516 |  -0.10710 |GClstr|153524| 0.512100 |SPEC|     |  0.000|2|0|0|2|3|0|0
105|WHL J101925.4-000420|154.85570 |  -0.07220 |GClstr|199782| 0.666400 |PHOT|     |  0.000|2|0|0|2|2|0|0
106|SDSSCGA 01311|155.53250 |  -0.06572 |GGroup| 21285| 0.071000 |SST |16.75|  0.000|2|0|0|2|1|0|0
107|PM2GC GR1101|155.54450 |  -0.05480 |GGroup| 21435| 0.071500 |MST |     |  0.000|2|0|0|2|2|0|0
108|SDSS CE J155.708923-00.050793 |155.70708 |  -0.05222 |GClstr| 94530| 0.315318 |PHOT|     |  0.000|8|0|0|4|7|0|0
109|WHL J102541.3-000540|156.42203 |  -0.09437 |GClstr|135896| 0.453300 |SPEC|     |  0.000|2|0|0|2|3|0|0
110|SDSS CE J156.810135-00.043991 |156.81000 |  -0.04389 |GClstr| 96562| 0.322096 |EST |     |  0.000|1|0|0|1|1|0|0
111|SDSS CE J157.461487-00.118144 |157.46167 |  -0.11806 |GClstr| 59145| 0.197288 |EST |     |  0.000|1|0|0|1|1|0|0
112|WHL J102955.4-000457|157.48070 |  -0.08248 |GClstr| 54892| 0.183100 |SPEC|     |  0.000|2|0|0|2|3|0|0
113|PM2GC GR1147|157.68590 |  -0.11300 |GGroup| 27971| 0.093300 |MST |     |  0.000|2|0|0|2|2|0|0
114|MSPM 06257|157.76240 |  -0.08910 |GClstr| 28091| 0.093700 |MUN |     |  0.000|1|0|0|1|1|0|0
115|SDSS CE J158.912628-00.046965 |158.91250 |  -0.04694 |GClstr|113569| 0.378827 |EST |     |  0.000|1|0|0|1|1|0|0
116|PM2GC GR1194|158.91890 |  -0.04210 |GGroup| 24943| 0.083200 |MST |     |  0.000|2|0|0|2|2|0|0
117|[FAC2011] CL_0230|158.92935 |  -0.09186 |GClstr|144806| 0.483020 |AVG |     |  0.000|1|0|0|1|2|0|0
118|WHL J103549.2-000448|158.95512 |  -0.08013 |GClstr|144260| 0.481200 |SPEC|     |  0.000|2|0|0|2|3|0|0
119|[EKL2017] ECO 7250|159.30900 |  -0.08730 |GGroup|  6191| 0.020650 |AVG |     |  0.000|1|0|0|1|1|0|0
120|OC03 J1037-0007|159.34392 |  -0.13306 |GClstr|149896| 0.500000 |EST |     |  0.000|1|0|0|1|1|0|0
121|SDSSCGB 07057|159.52833 |  -0.05558 |GGroup||||18.60|  0.000|1|0|0|1|0|0|0
122|SDSSCGB 24559|160.51458 |  -0.06917 |GGroup||||20.22|  0.000|1|0|0|1|0|0|0
123|WHL J104212.1-000747|160.55060 |  -0.12980 |GClstr|165006| 0.550400 |SPEC|     |  0.000|2|0|0|2|3|0|0
124|SDSSCGB 25562|160.59667 |  -0.13825 |GGroup| 41371| 0.138000 |SST |16.16|  0.000|1|0|0|1|1|0|0
125|SDSS CE J160.897583-00.131408 |160.88542 |  -0.13111 |GClstr|119055| 0.397124 |PHOT|     |  0.000|8|0|0|4|7|0|0
126|SDSS CE J160.933167-00.066099 |160.93333 |  -0.06611 |GClstr| 38736| 0.129211 |EST |     |  0.000|1|0|0|1|1|0|0
127|SDSS CE J161.145920-00.070687 |161.13158 |  -0.05266 |GClstr| 65949| 0.219981 |EST |     |  0.000|2|0|0|1|1|0|0
128|[FAC2011] CL_0056|161.13668 |  -0.08683 |GClstr|184187| 0.614380 |AVG |     |  0.000|1|0|0|1|2|0|0
129|SDSS CE J161.225204-00.124122 |161.22500 |  -0.12417 |GClstr| 89759| 0.299404 |EST |     |  0.000|2|0|0|1|1|0|0
130|SDSS CE J161.254608-00.078380 |161.25458 |  -0.07833 |GClstr| 89759| 0.299404 |EST |     |  0.000|1|0|0|1|1|0|0
131|WHL J104504.6-000513|161.26897 |  -0.08686 |GClstr| 90537| 0.302000 |PHOT|     |  0.000|2|0|0|2|2|0|0
132|WHL J104505.7-000633|161.27375 |  -0.10917 |GClstr| 77346| 0.258000 |PHOT|     |  0.000|3|0|0|1|2|0|0
133|WHL J104556.7-000647|161.48625 |  -0.11306 |GClstr|137725| 0.459400 |PHOT|     |  0.000|1|0|0|1|1|0|0
134|GMBCG J161.56246-00.05953|161.56246 |  -0.05953 |GClstr|146299| 0.488000 |PHOT|     |  0.000|1|0|0|1|1|0|0
135|GMBCG J161.60029-00.10460|161.60029 |  -0.10460 |GClstr|120217| 0.401000 |PHOT|     |  0.000|1|0|0|1|1|0|0
136|WHL J104624.5-000508|161.60208 |  -0.08556 |GClstr|137275| 0.457900 |PHOT|     |  0.000|1|0|0|1|1|0|0
137|SDSS CE J161.704376-00.116912 |161.70458 |  -0.11694 |GClstr| 94734| 0.316000 |PHOT|     |  0.000|2|0|0|1|2|0|0
138|SDSSCGB 05137|161.70625 |  -0.11681 |GGroup||||18.99|  0.000|1|0|0|1|0|0|0
139|SDSSCGB 19864|161.72042 |  -0.08289 |GGroup||||19.00|  0.000|1|0|0|1|0|0|0
140|PM2GC GR1037|161.76075 |  -0.09058 |GTrpl| 11848| 0.039520 |MUN |     |  0.000|4|0|0|4|3|0|0
141|GMBCG J161.80205-00.13846|161.80205 |  -0.13846 |GClstr| 96233| 0.321000 |PHOT|     |  0.000|1|0|0|1|1|0|0
142|WHL J104916.5-000559|162.31892 |  -0.09972 |GClstr|175229| 0.584500 |SPEC|     |  0.000|2|0|0|2|3|0|0
143|MSPM 02988|162.31970 |  -0.05670 |GClstr| 22332| 0.074490 |MUN |     |  0.000|1|0|0|1|1|0|0
144|PM2GC GR1124|162.32420 |  -0.06340 |GGroup| 22754| 0.075900 |MST |     |  0.000|2|0|0|2|2|0|0
145|NSC J104918-000647|162.32525 |  -0.11320 |GClstr| 35885| 0.119700 |PHOT|     |  0.000|1|0|0|1|1|0|0
146|SDSS CE J162.340088-00.109778 |162.34000 |  -0.10972 |GClstr| 45540| 0.151904 |EST |     |  0.000|1|0|0|1|1|0|0
147|WHL J104926.5-000348|162.36028 |  -0.06323 |GClstr|134457| 0.448500 |SPEC|     |  0.000|3|0|0|3|4|0|0
148|SDSSCGB 33359|162.46042 |  -0.12539 |GGroup||||18.54|  0.000|1|0|0|1|0|0|0
149|WHL J105113.5-000649|162.80641 |  -0.11362 |GClstr| 44309| 0.147800 |SPEC|     |  0.000|2|0|0|2|3|0|0
150|PM2GC GR1108|162.89790 |  -0.12740 |GGroup| 27041| 0.090200 |MST |     |  0.000|2|0|0|2|2|0|0
151|WHL J105316.4-000727|163.31837 |  -0.12418 |GClstr|207606| 0.692500 |SPEC|     |  0.000|2|0|0|2|3|0|0
152|PM2GC GR1035|164.19270 |  -0.07650 |GGroup| 24823| 0.082800 |MST |     |  0.000|2|0|0|2|2|0|0
153|SDSSCGB 66874|164.78833 |  -0.06939 |GGroup| 22784| 0.076000 |SST |16.39|  0.000|1|0|0|1|1|0|0
154|SDSS CE J164.869614-00.111694 |164.86875 |  -0.11444 |GClstr| 77646| 0.259000 |PHOT|     |  0.000|3|0|0|1|3|0|0
155|GMBCG J164.98245-00.12531|164.98245 |  -0.12531 |GClstr| 83043| 0.277000 |PHOT|     |  0.000|1|0|0|1|1|0|0
156|SDSS CE J164.992493-00.127446 |164.99250 |  -0.12750 |GClstr|113569| 0.378827 |EST |     |  0.000|1|0|0|1|1|0|0
157|WHL J105958.6-000816|164.99426 |  -0.13775 |GClstr| 67243| 0.224300 |PHOT|     |  0.000|2|0|0|2|2|0|0
158|WHL J110015.7-000759|165.06542 |  -0.13306 |GClstr|130949| 0.436800 |PHOT|     |  0.000|1|0|0|1|1|0|0
159|SDSS CE J165.069489-00.111836 |165.06958 |  -0.11194 |GClstr|110324| 0.368000 |PHOT|     |  0.000|2|0|0|1|2|0|0
160|[FAC2011] CL_0120|165.08456 |  -0.12929 |GClstr|149566| 0.498900 |AVG |     |  0.000|1|0|0|1|2|0|0
161|SDSS CE J165.504349-00.072858 |165.50417 |  -0.07278 |GClstr|116971| 0.390173 |EST |     |  0.000|1|0|0|1|1|0|0
162|SDSS CE J165.581757-00.127916 |165.58167 |  -0.12778 |GClstr| 86940| 0.290000 |PHOT|     |  0.000|2|0|0|1|2|0|0
163|SDSSCGB 03285|165.68000 |  -0.09761 |GGroup||||18.49|  0.000|1|0|0|1|0|0|0
164|GMBCG J165.68069-00.09559|165.68069 |  -0.09559 |GClstr| 80644| 0.269000 |PHOT|     |  0.000|1|0|0|1|1|0|0
165|[BMA2003] 361|165.72200 |  -0.04200 |GClstr| 96833| 0.323000 |EST |     |  0.000|1|0|0|1|1|0|0
166|[BMA2003] 362|165.90100 |  -0.13700 |GClstr|102529| 0.342000 |EST |     |  0.000|1|0|0|1|1|0|0
167|GMBCG J166.02065-00.12527|166.02065 |  -0.12527 |GClstr|134007| 0.447000 |PHOT|     |  0.000|1|0|0|1|1|0|0
168|PGC1 0135771 GROUP|166.42094 |  -0.10025 |GGroup|  6361| 0.021217 |AVG |     |  0.000|2|0|0|2|1|0|0
169|SDSS CE J166.472778-00.109674 |166.47292 |  -0.10972 |GClstr||||     |  0.000|1|0|0|1|0|0|0
170|[M98j] 112|166.91571 |  -0.07082 |GGroup|   928| 0.003095 |    |     |  0.000|1|0|0|1|1|0|0
171|MSPM 03928|166.95050 |  -0.11730 |GClstr| 20122| 0.067120 |MUN |     |  0.000|1|0|0|1|1|0|0
172|WHL J110837.4-000253|167.15573 |  -0.04794 |GClstr|151905| 0.506700 |SPEC|     |  0.000|2|0|0|2|3|0|0
173|SDSS CE J167.232651-00.133961 |167.23250 |  -0.13389 |GClstr| 25131| 0.083827 |EST |     |  0.000|2|0|0|1|1|0|0
174|PM2GC GR1116|167.25170 |  -0.12500 |GGroup| 21405| 0.071400 |MST |     |  0.000|2|0|0|2|2|0|0
175|Mr20:[BFW2006] 01704|167.27482 |  -0.12135 |GGroup| 26631| 0.088830 |MUN |     |  0.000|1|0|0|1|1|0|0
176|SDSS CE J167.294785-00.102257 |167.29458 |  -0.10222 |GClstr|116971| 0.390173 |EST |     |  0.000|1|0|0|1|1|0|0
177|SDSSCGB 69106|167.30208 |  -0.09672 |GGroup||||20.17|  0.000|1|0|0|1|0|0|0
178|[EKL2017] ECO 8010|167.35500 |  -0.09810 |GGroup|  3670| 0.012243 |AVG |     |  0.000|1|0|0|1|1|0|0
179|WHL J110944.0-000331|167.43336 |  -0.05857 |GClstr|161198| 0.537700 |SPEC|     |  0.000|2|0|0|2|3|0|0
180|MSPM 05415|167.54190 |  -0.04390 |GClstr| 27782| 0.092670 |MUN |     |  0.000|1|0|0|1|1|0|0
181|SDSSCGB 67652|167.70125 |  -0.08000 |GGroup||||19.35|  0.000|1|0|0|1|0|0|0
182|SDSSCGB 36070|167.74792 |  -0.04458 |GGroup||||18.70|  0.000|1|0|0|1|0|0|0
183|GMBCG J167.82617-00.04313|167.82617 |  -0.04313 |GClstr|122615| 0.409000 |PHOT|     |  0.000|1|0|0|1|1|0|0
184|WHL J111256.5-000819|168.23542 |  -0.13861 |GClstr|126213| 0.421000 |PHOT|     |  0.000|2|0|0|1|2|0|0
185|WHL J111302.3-000743|168.25951 |  -0.12851 |GClstr|135416| 0.451700 |SPEC|     |  0.000|2|0|0|2|3|0|0
186|RM J111302.3-000742.6|168.25951 |  -0.12851 |GClstr|141010| 0.470359 |PHOT|     |  0.000|2|0|0|1|1|0|0
187|SDSS CE J168.337036-00.136496 |168.33708 |  -0.13639 |GClstr| 89759| 0.299404 |EST |     |  0.000|1|0|0|1|1|0|0
188|MSPM 00890|168.34060 |  -0.05650 |GClstr| 11710| 0.039060 |MUN |     |  0.000|1|0|0|1|1|0|0
189|SDSSCGB 63683|168.50167 |  -0.12669 |GGroup||||20.19|  0.000|1|0|0|1|0|0|0
190|PM2GC GR1065|168.83970 |  -0.12130 |GGroup| 23204| 0.077400 |MST |     |  0.000|2|0|0|2|2|0|0
191|SDSS CE J169.004013-00.062357 |169.00417 |  -0.06222 |GClstr|113569| 0.378827 |EST |     |  0.000|1|0|0|1|1|0|0
192|PM2GC GR1213|169.07470 |  -0.07790 |GGroup| 30099| 0.100400 |MST |     |  0.000|2|0|0|2|2|0|0
193|WHL J111628.8-000806|169.12003 |  -0.13501 |GClstr|163417| 0.545100 |SPEC|     |  0.000|2|0|0|2|3|0|0
194|SDSS CE J169.202316-00.097003 |169.20250 |  -0.09694 |GClstr| 96562| 0.322096 |EST |     |  0.000|1|0|0|1|1|0|0
195|SDSSCGB 72763|169.22583 |  -0.08806 |GGroup|162308| 0.541400 |SPEC|20.39|  0.000|3|0|0|3|3|0|0
196|SDSS CE J169.357483-00.097077 |169.35750 |  -0.09694 |GClstr|113569| 0.378827 |EST |     |  0.000|1|0|0|1|1|0|0
197|GMBCG J169.36706-00.11792|169.36706 |  -0.11792 |GClstr|125613| 0.419000 |PHOT|     |  0.000|1|0|0|1|1|0|0
198|SDSS CE J169.621475-00.105242 |169.62167 |  -0.10528 |GClstr| 76153| 0.254019 |EST |     |  0.000|1|0|0|1|1|0|0
