

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-01-21T13:00:05PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
107|[STH2017] 112075|145.50250 | -21.20202 |GGroup|  2510| 0.008372 |UUN |     |  0.000|1|0|0|1|1|0|0
108|ABELL 0857|145.52484 | -22.61207 |GClstr| 42433| 0.141541 |    |16.9J|  0.000|7|0|0|2|1|0|1
109|PGC1 4078651 GROUP|145.53505 | -23.59535 |GGroup||||     |  0.000|1|0|0|1|0|0|0
110|RXGCC 323|145.54600 | -22.65500 |GClstr| 41401| 0.138100 |UUN |     |  0.000|1|0|0|1|1|0|0
111|ABELL 3424|145.58344 | -27.51225 |GClstr||||17.4J|  0.000|1|0|0|1|0|0|0
112|MOO J0942-1829|145.66917 | -18.49250 |GClstr||||     |  0.000|1|0|0|1|0|0|0
113|PGC1 0027774 GROUP|145.70725 | -16.11555 |GGroup||||     |  0.000|1|0|0|1|0|0|0
114|[STH2017] 102135|145.76976 | -31.02504 |GGroup|   873| 0.002912 |UUN |     |  0.000|1|0|0|1|1|0|0
115|PGC1 0027809 GROUP|145.82039 | -19.87204 |GGroup||||     |  0.000|1|0|0|1|0|0|0
116|ABELL 3425|145.84686 | -23.69630 |GClstr| 53000| 0.176789 |PHOT|17.5J|  0.000|2|0|0|1|1|0|0
117|PGC1 0027836 GROUP|145.90617 | -32.74109 |GGroup||||     |  0.000|1|0|0|1|0|0|0
118|ABELL S0619|145.94761 | -30.74660 |GClstr||||17.4J|  0.000|1|0|0|1|0|0|0
119|ABELL 3426|145.97236 | -30.83000 |GClstr| 71051| 0.237000 |EST |17.4J|  0.000|3|0|0|1|1|0|0
120|PGC1 0027856 GROUP|145.97271 | -34.55907 |GGroup||||     |  0.000|1|0|0|1|0|0|0
121|NGC 2997 GROUP|145.97772 | -31.51947 |GGroup|  1070| 0.003569 |SUN |     |  0.000|14|0|0|1|2|0|0
122|PGC1 0092270 GROUP|146.02093 | -25.20304 |GGroup||||     |  0.000|1|0|0|1|0|0|0
123|PGC1 0027873 GROUP|146.02657 | -21.28597 |GGroup||||     |  0.000|1|0|0|1|0|0|0
124|PGC1 0027885 GROUP|146.04007 | -21.09240 |GGroup||||     |  0.000|1|0|0|1|0|0|0
125|NGC 2986 GROUP|146.04292 | -21.27778 |GClstr|  2488| 0.008300 |UUN |     |  0.000|8|0|0|3|3|0|0
126|ESO 434- G 028 GROUP|146.05500 | -28.84861 |GGroup||||     |  0.000|1|0|0|1|0|0|0
127|PGC1 0807172 GROUP|146.08355 | -22.91606 |GGroup||||     |  0.000|1|0|0|1|0|0|0
128|PGC1 0027882 GROUP|146.10102 | -28.93162 |GGroup||||     |  0.000|1|0|0|1|0|0|0
129|PGC1 0027897 GROUP|146.13176 | -31.55461 |GGroup||||     |  0.000|1|0|0|1|0|0|0
130|LGG 181|146.13469 | -17.74094 |GGroup||||     |  0.000|1|0|0|1|0|0|0
131|MCXC J0944.6-2633|146.15250 | -26.56556 |GClstr| 42601| 0.142100 |    |     |  0.000|7|0|0|2|2|0|0
132|SCL 081|146.26690 | -25.43078 |GClstr||||     |  0.000|2|0|0|1|0|0|0
133|ESO 373-IG 022|146.32285 | -33.78431 |GGroup|  2652| 0.008846 |S1L |     |  0.000|15|2|5|7|5|1|0
134|[MHS2013] 070|146.33110 | -15.59130 |GClstr|  5156| 0.017200 |    |     |  0.000|1|0|0|1|2|0|0
135|CCPC-z29-002|146.38650 | -24.48480 |GClstr|875094| 2.919000 |    |     |  0.000|2|0|0|1|1|0|0
136|PGC1 0027978 GROUP|146.39688 | -31.22486 |GGroup||||     |  0.000|1|0|0|1|0|0|0
137|PGC1 2807082 GROUP|146.40077 | -48.12634 |GGroup||||     |  0.000|1|0|0|1|0|0|0
138|PGC1 0028001 GROUP|146.49121 | -32.20241 |GGroup||||     |  0.000|1|0|0|1|0|0|0
139|EIS J0945-2005|146.49167 | -20.09403 |GClstr|269813| 0.900000 | ?  |     |  0.000|1|0|0|1|1|0|0
140|EIS J0946-2103|146.50833 | -21.05525 |GClstr|299792| 1.000000 | ?  |     |  0.000|1|0|0|1|1|0|0
141|EIS J0946-2053A|146.52167 | -20.89486 |GClstr|179876| 0.600000 | ?  |     |  0.000|1|0|0|1|1|0|0
142|EIS J0946-2029|146.55333 | -20.49711 |GClstr| 33277| 0.111000 |SLS |     |  0.000|3|0|0|1|2|0|0
143|NGC 3001 GROUP|146.57792 | -30.43750 |GGroup||||     |  0.000|1|0|0|1|0|0|0
144|PGC1 0906912 GROUP|146.59453 | -15.75626 |GGroup||||     |  0.000|1|0|0|1|0|0|0
145|EIS J0946-2133|146.62958 | -21.55669 |GClstr| 42271| 0.141000 |SLS |     |  0.000|2|0|0|1|1|0|0
146|PGC1 0028027 GROUP|146.64617 | -30.54088 |GGroup||||     |  0.000|1|0|0|1|0|0|0
147|EIS J0946-2030|146.67333 | -20.50075 |GClstr|359751| 1.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
148|EIS J0946-2053B|146.68833 | -20.88789 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
149|EIS J0916-2023|146.68917 | -20.39856 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
150|AM 0944-332|146.69707 | -33.60198 |GGroup||||     |  0.000|1|0|0|1|0|0|0
151|LDCE 0673|146.71417 | -21.75778 |GGroup|  2208| 0.007365 |SST |     |  0.000|1|0|0|1|1|0|0
152|EIS J0946-2006|146.74417 | -20.10683 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
153|[STH2017] 100274|146.75759 | -33.18209 |GGroup|  2559| 0.008536 |UUN |     |  0.000|1|0|0|1|1|0|0
154|EIS J0947-2120|146.77875 | -21.34878 |GClstr| 57260| 0.191000 |SLS |     |  0.000|3|0|0|1|2|0|0
155|RXSC J0947-2536|146.80000 | -25.61400 |GClstr| 42361| 0.141300 |    |     |  0.000|1|0|0|1|2|0|0
156|EIS J0947-2059|146.81042 | -20.99750 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
157|EIS J0947-2044|146.82250 | -20.73472 |GClstr|269813| 0.900000 | ?  |     |  0.000|1|0|0|1|1|0|0
158|EIS J0947-2025|146.82333 | -20.42828 |GClstr|269813| 0.900000 | ?  |     |  0.000|1|0|0|1|1|0|0
159|EIS J0947-2057|146.89542 | -20.95675 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
160|EIS J0947-2030|146.94708 | -20.50111 |GClstr|299792| 1.000000 | ?  |     |  0.000|1|0|0|1|1|0|0
161|EIS J0948-2044|147.03292 | -20.74200 |GClstr| 54562| 0.182000 |SLS |     |  0.000|3|0|0|1|2|0|0
162|[STH2017] 112439|147.04728 | -22.94366 |GGroup|  1852| 0.006178 |UUN |     |  0.000|1|0|0|1|1|0|0
163|EIS J0948-2021|147.05250 | -20.36625 |GClstr|359751| 1.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
164|EIS J0948-2151|147.06167 | -21.85964 |GClstr|299792| 1.000000 | ?  |     |  0.000|1|0|0|1|1|0|0
165|EIS J0948-2123|147.07292 | -21.39258 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
166|EIS J0948-2113|147.09208 | -21.23194 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
167|EIS J0948-2129|147.10042 | -21.48744 |GClstr|209855| 0.700000 | ?  |     |  0.000|1|0|0|1|1|0|0
168|EIS J0948-2004|147.17708 | -20.07019 |GClstr|359751| 1.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
169|PGC1 0028201 GROUP|147.19935 | -26.28277 |GGroup||||     |  0.000|1|0|0|1|0|0|0
170|ABELL S0620|147.24181 | -26.03340 |GClstr| 15411| 0.051405 |    |17.1J|  0.000|2|0|0|1|1|0|1
171|EIS J0949-2147|147.25000 | -21.78631 |GClstr|329772| 1.100000 | ?  |     |  0.000|1|0|0|1|1|0|0
172|PGC1 0028211 GROUP|147.25416 | -16.72886 |GGroup||||     |  0.000|1|0|0|1|0|0|0
173|EIS J0949-2121|147.25708 | -21.36311 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
174|EIS J0949-2139|147.28125 | -21.66239 |GClstr|179876| 0.600000 | ?  |     |  0.000|1|0|0|1|1|0|0
175|EIS J0949-2026|147.31250 | -20.44231 |GClstr|389730| 1.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
176|MOO J0949-1620|147.31583 | -16.34056 |GClstr|338766| 1.130000 |PHOT|     |  0.000|1|0|0|1|1|0|0
177|PGC1 0028234 GROUP|147.31875 | -47.92059 |GGroup||||     |  0.000|1|0|0|1|0|0|0
178|EIS J0949-2101|147.34208 | -21.02975 |GClstr|105767| 0.352800 |    |     |  0.000|2|0|0|1|1|0|0
179|EIS J0949-2118|147.36667 | -21.31322 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
180|EIS J0949-2058|147.38583 | -20.97486 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
181|EIS J0949-2138|147.39333 | -21.64731 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
182|EIS J0949-2019|147.39792 | -20.31800 |GClstr|359751| 1.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
183|EIS J0949-2153|147.40833 | -21.89572 |GClstr|269813| 0.900000 | ?  |     |  0.000|1|0|0|1|1|0|0
184|EIS J0949-2145|147.45583 | -21.75714 |GClstr| 59958| 0.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
185|EIS J0949-2046|147.46458 | -20.77794 |GClstr| 42870| 0.143000 |SLS |     |  0.000|2|0|0|1|1|0|1
186|EIS J0949-2117|147.46500 | -21.29003 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
187|PGC1 0707312 GROUP|147.49487 | -31.25787 |GGroup||||     |  0.000|1|0|0|1|0|0|0
188|PGC1 0028285 GROUP|147.49636 | -25.00891 |GGroup||||     |  0.000|1|0|0|1|0|0|0
189|PGC1 0028376 GROUP|147.54229 | -32.84604 |GGroup||||     |  0.000|1|0|0|1|0|0|0
190|EIS J0950-2018|147.56000 | -20.31089 |GClstr|329772| 1.100000 | ?  |     |  0.000|1|0|0|1|1|0|0
191|EIS J0950-2129|147.56667 | -21.48722 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|1
192|PGC1 0028313 GROUP|147.57541 | -23.02530 |GGroup||||     |  0.000|1|0|0|1|0|0|0
193|EIS J0950-2108|147.58292 | -21.13667 |GClstr|329772| 1.100000 | ?  |     |  0.000|1|0|0|1|1|0|0
194|EIS J0950-2123|147.59792 | -21.39950 |GClstr|179876| 0.600000 | ?  |     |  0.000|1|0|0|1|1|0|0
195|EIS J0950-2113|147.59833 | -21.23175 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
196|PGC1 0100726 GROUP|147.61744 | -30.86718 |GGroup||||     |  0.000|1|0|0|1|0|0|0
197|EIS J0950-2141|147.66833 | -21.68436 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
198|ABELL 3427|147.67834 | -22.65120 |GClstr| 76000| 0.253508 |PHOT|17.5J|  0.000|2|0|0|1|1|0|0
199|EIS J0950-2133|147.69208 | -21.56039 |GClstr| 39273| 0.131000 |SLS |     |  0.000|2|0|0|1|1|0|0
200|EIS J0950-2154|147.69958 | -21.91064 |GClstr|149896| 0.500000 | ?  |     |  0.000|2|0|0|1|1|0|0
201|EIS J0950-2138|147.72333 | -21.63353 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
202|EIS J0951-2146|147.76583 | -21.76914 |GClstr|179876| 0.600000 | ?  |     |  0.000|1|0|0|1|1|0|0
203|EIS J0951-2052|147.78458 | -20.87322 |GClstr| 72850| 0.243000 |SLS |     |  0.000|2|0|0|1|1|0|0
204|PGC1 0028365 GROUP|147.78462 | -17.50001 |GGroup||||     |  0.000|1|0|0|1|0|0|0
205|PGC1 0028373 GROUP|147.80612 | -18.47497 |GGroup||||     |  0.000|1|0|0|1|0|0|0
206|PGC1 0756457 GROUP|147.84266 | -27.33838 |GGroup||||     |  0.000|1|0|0|1|0|0|0
207|EIS J0951-2026|147.87042 | -20.44250 |GClstr| 72550| 0.242000 |SLS |     |  0.000|2|0|0|1|1|0|0
208|EIS J0951-2102|147.87833 | -21.04844 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
209|EIS J0951-2047|147.88542 | -20.78564 |GClstr|149896| 0.500000 | ?  |     |  0.000|2|0|0|1|1|0|0
210|EIS J0951-2016|147.90875 | -20.26744 |GClstr|389730| 1.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
211|EIS J0951-2153|147.92000 | -21.89614 |GClstr|389730| 1.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
212|EIS J0951-2033|147.92583 | -20.56658 |GClstr|359751| 1.200000 | ?  |     |  0.000|1|0|0|1|1|0|0
213|EIS J0951-2145|147.94708 | -21.75753 |GClstr| 55462| 0.185000 |SLS |     |  0.000|2|0|0|1|1|0|1
214|EIS J0951-2108|147.95833 | -21.14417 |GClstr|149896| 0.500000 | ?  |     |  0.000|1|0|0|1|1|0|0
215|PGC1 0028418 GROUP|147.99988 | -25.31257 |GGroup||||     |  0.000|1|0|0|1|0|0|0
216|EIS J0952-2025|148.00375 | -20.42050 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
217|[STH2017] 112884|148.06055 | -22.66967 |GGroup|  2296| 0.007659 |UUN |     |  0.000|1|0|0|1|1|0|0
218|PSZ1 G273.98+05.67|148.06470 | -46.88290 |GClstr||||     |  0.000|2|0|1|2|0|0|0
219|EIS J0952-2005|148.08042 | -20.08464 |GClstr|119917| 0.400000 | ?  |     |  0.000|1|0|0|1|1|0|0
220|EIS J0952-2114|148.12292 | -21.24181 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
221|EIS J0952-2047|148.13542 | -20.79281 |GClstr|209855| 0.700000 | ?  |     |  0.000|1|0|0|1|1|0|0
222|EIS J0952-2032|148.13583 | -20.54444 |GClstr| 89938| 0.300000 | ?  |     |  0.000|1|0|0|1|1|0|0
